,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
72,1,Mercury 2,1,Horseshoe Bay Terminal,Tunstall Bay Beach,30.0,52.8,52.8,55.8,25.0,0,None
73,2,Mercury 2,2,Tunstall Bay Beach,Gibsons Harbor,55.8,70.8,70.8,73.8,20.0,12,Tunstall Bay
74,3,Mercury 2,3,Gibsons Harbor,Bowen Bay Marina,73.8,84.84,84.84,87.84,20.0,0,None
75,4,Mercury 2,4,Bowen Bay Marina,Gibsons Harbor,87.84,101.64,101.64,104.64,20.0,12,Bowen Bay
76,5,Mercury 2,5,Gibsons Harbor,Bowen Bay Beach,104.64,115.68,115.68,118.68,20.0,0,None
77,6,Mercury 2,6,Bowen Bay Beach,Gibsons Harbor,118.68,132.48000000000002,132.48000000000002,135.48000000000002,20.0,12,Bowen Bay
78,7,Mercury 2,7,Gibsons Harbor,Bowen Bay Marina,135.48000000000002,146.52,146.52,149.52,20.0,0,None
79,8,Mercury 2,8,Bowen Bay Marina,Gibsons Harbor,149.52,163.32000000000002,163.32000000000002,166.32000000000002,20.0,12,Bowen Bay
80,9,Mercury 2,9,Gibsons Harbor,Bowen Bay Marina,166.32000000000002,177.36,177.36,180.36,20.0,0,None
81,10,Mercury 2,10,Bowen Bay Marina,Gibsons Harbor,180.36,194.16000000000003,194.16000000000003,197.16000000000003,20.0,12,Bowen Bay
82,11,Mercury 2,11,Gibsons Harbor,Bowen Bay Beach,197.16000000000003,208.20000000000002,208.20000000000002,211.20000000000002,20.0,0,None
83,12,Mercury 2,12,Bowen Bay Beach,Gibsons Harbor,211.20000000000002,225.00000000000003,225.00000000000003,228.00000000000003,20.0,12,Bowen Bay
84,13,Mercury 2,13,Gibsons Harbor,Bowen Bay Beach,228.00000000000003,239.04000000000002,239.04000000000002,242.04000000000002,20.0,0,None
85,14,Mercury 2,14,Bowen Bay Beach,Gibsons Harbor,242.04000000000002,255.84000000000003,255.84000000000003,258.84000000000003,20.0,12,Bowen Bay
86,15,Mercury 2,15,Gibsons Harbor,Bowen Bay Marina,258.84000000000003,269.88000000000005,269.88000000000005,272.88000000000005,20.0,0,None
87,16,Mercury 2,16,Bowen Bay Marina,Gibsons Harbor,272.88000000000005,286.68000000000006,286.68000000000006,289.68000000000006,20.0,12,Bowen Bay
88,1,Mercury 3,1,Horseshoe Bay Terminal,Tunstall Bay Dock,20.0,42.8,42.8,47.8,25.0,0,None
89,2,Mercury 3,2,Tunstall Bay Dock,Gibsons Harbor,47.8,62.8,62.8,67.8,20.0,40,Tunstall Bay
90,3,Mercury 3,3,Gibsons Harbor,Bowen Bay Marina,67.8,78.84,78.84,83.84,20.0,0,None
91,4,Mercury 3,4,Bowen Bay Marina,Gibsons Harbor,83.84,97.64,97.64,102.64,20.0,40,Bowen Bay
92,5,Mercury 3,5,Gibsons Harbor,Bowen Bay Marina,102.64,113.68,113.68,118.68,20.0,0,None
93,6,Mercury 3,6,Bowen Bay Marina,Gibsons Harbor,118.68,132.48000000000002,132.48000000000002,137.48000000000002,20.0,40,Bowen Bay
94,7,Mercury 3,7,Gibsons Harbor,Tunstall Bay Dock,137.48000000000002,149.48000000000002,149.48000000000002,154.48000000000002,20.0,0,None
95,8,Mercury 3,8,Tunstall Bay Dock,Gibsons Harbor,154.48000000000002,169.48000000000002,169.48000000000002,174.48000000000002,20.0,40,Tunstall Bay
96,9,Mercury 3,9,Gibsons Harbor,Tunstall Bay Dock,174.48000000000002,186.48000000000002,186.48000000000002,191.48000000000002,20.0,0,None
97,10,Mercury 3,10,Tunstall Bay Dock,Gibsons Harbor,191.48000000000002,206.48000000000002,206.48000000000002,211.48000000000002,20.0,40,Tunstall Bay
98,11,Mercury 3,11,Gibsons Harbor,Tunstall Bay Dock,211.48000000000002,223.48000000000002,223.48000000000002,228.48000000000002,20.0,0,None
99,12,Mercury 3,12,Tunstall Bay Dock,Gibsons Harbor,228.48000000000002,243.48000000000002,243.48000000000002,248.48000000000002,20.0,40,Tunstall Bay
100,13,Mercury 3,13,Gibsons Harbor,Tunstall Bay Dock,248.48000000000002,260.48,260.48,265.48,20.0,0,None
101,14,Mercury 3,14,Tunstall Bay Dock,Gibsons Harbor,265.48,280.48,280.48,285.48,20.0,40,Tunstall Bay
102,1,Sunshine Coast Water Taxi,1,Gibsons Harbor,Bowen Bay Beach,20.0,31.04,31.04,34.04,25.0,0,None
103,2,Sunshine Coast Water Taxi,2,Bowen Bay Beach,Gibsons Harbor,34.04,47.839999999999996,47.839999999999996,50.839999999999996,20.0,12,Bowen Bay
104,3,Sunshine Coast Water Taxi,3,Gibsons Harbor,Bowen Bay Marina,50.839999999999996,61.879999999999995,61.879999999999995,64.88,20.0,0,None
105,4,Sunshine Coast Water Taxi,4,Bowen Bay Marina,Gibsons Harbor,64.88,78.67999999999999,78.67999999999999,81.67999999999999,20.0,12,Bowen Bay
