,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
43,14,Mercury 3,14,Cates Bay Dock,Horseshoe Bay Terminal,185.92,194.61999999999998,194.61999999999998,199.61999999999998,20.0,40,Hood Point
44,15,Mercury 3,15,Horseshoe Bay Terminal,Cates Bay Dock,199.61999999999998,206.57999999999998,206.57999999999998,211.57999999999998,20.0,0,None
45,16,Mercury 3,16,Cates Bay Dock,Horseshoe Bay Terminal,211.57999999999998,220.27999999999997,220.27999999999997,225.27999999999997,20.0,40,Hood Point
46,17,Mercury 3,17,Horseshoe Bay Terminal,Cates Bay Dock,225.27999999999997,232.23999999999998,232.23999999999998,237.23999999999998,20.0,0,None
47,18,Mercury 3,18,Cates Bay Dock,Horseshoe Bay Terminal,237.23999999999998,245.93999999999997,245.93999999999997,250.93999999999997,20.0,40,Hood Point
48,19,Mercury 3,19,Horseshoe Bay Terminal,Cates Bay Dock,250.93999999999997,257.9,257.9,262.9,20.0,0,None
49,20,Mercury 3,20,Cates Bay Dock,Horseshoe Bay Terminal,262.9,271.59999999999997,271.59999999999997,276.59999999999997,20.0,40,Hood Point
50,21,Mercury 3,21,Horseshoe Bay Terminal,Cates Bay Dock,276.59999999999997,283.55999999999995,283.55999999999995,288.55999999999995,20.0,0,None
51,22,Mercury 3,22,Cates Bay Dock,Horseshoe Bay Terminal,288.55999999999995,297.25999999999993,297.25999999999993,302.25999999999993,20.0,40,Hood Point
52,23,Mercury 3,23,Horseshoe Bay Terminal,Cates Bay Dock,302.25999999999993,309.2199999999999,309.2199999999999,314.2199999999999,20.0,0,None
53,24,Mercury 3,24,Cates Bay Dock,Horseshoe Bay Terminal,314.2199999999999,322.9199999999999,322.9199999999999,327.9199999999999,20.0,40,Hood Point
54,25,Mercury 3,25,Horseshoe Bay Terminal,Cates Bay Dock,327.9199999999999,334.8799999999999,334.8799999999999,339.8799999999999,20.0,0,None
55,26,Mercury 3,26,Cates Bay Dock,Horseshoe Bay Terminal,339.8799999999999,348.57999999999987,348.57999999999987,353.57999999999987,20.0,29,Hood Point
