avg_util_per_alg,avg_util_true,dataset,demand_capacity_ratio,evac_time_per_alg,evac_time_true,gamma_setting,id,model,number_updates,random_seed,update_interval,variance_factor
0.39854367120917306,0.39854367120917306,small,2.0,171.12703905138198,171.12703905138198,,D-ICEP BENCHMARK_0.4_15.0_12.0_125.0_None,D-ICEP BENCHMARK,12.0,125.0,15.0,0.4
0.41403187790639473,0.3877895740495928,small,2.0,160.1922141422082,246.4039150134425,,D-ICEP_0.4_15.0_12.0_125.0_None,D-ICEP,12.0,125.0,15.0,0.4
0.2494951140303328,0.2494951140303328,small,3.0,315.77725124441616,315.77725124441616,,D-ICEP BENCHMARK_0.2_15.0_16.0_126.0_None,D-ICEP BENCHMARK,16.0,126.0,15.0,0.2
0.26286493926230536,0.26746488301896826,small,3.0,303.6152352524101,370.0191502658527,,D-ICEP_0.2_15.0_16.0_126.0_None,D-ICEP,16.0,126.0,15.0,0.2
0.38346686344859277,0.38346686344859277,small,2.0,167.5593373705538,167.5593373705538,,D-ICEP BENCHMARK_0.4_60.0_3.0_126.0_None,D-ICEP BENCHMARK,3.0,126.0,60.0,0.4
0.3798634375141527,0.3385972708205821,small,2.0,149.28627082279874,268.16893979784413,,D-ICEP_0.4_60.0_3.0_126.0_None,D-ICEP,3.0,126.0,60.0,0.4
0.2494951140303328,0.2494951140303328,small,3.0,315.77725124441616,315.77725124441616,,D-ICEP BENCHMARK_0.2_30.0_8.0_126.0_None,D-ICEP BENCHMARK,8.0,126.0,30.0,0.2
0.2623883212856714,0.27868827700624305,small,3.0,336.4904183797239,382.18116625785865,,D-ICEP_0.2_30.0_8.0_126.0_None,D-ICEP,8.0,126.0,30.0,0.2
0.39854367120917306,0.39854367120917306,small,2.0,171.12703905138198,171.12703905138198,,D-ICEP BENCHMARK_0.2_30.0_6.0_125.0_None,D-ICEP BENCHMARK,6.0,125.0,30.0,0.2
0.4343609280659619,0.38553262361526347,small,2.0,171.41187177113204,246.4039150134425,,D-ICEP_0.2_30.0_6.0_125.0_None,D-ICEP,6.0,125.0,30.0,0.2
0.21630942450735274,0.21630942450735274,small,4.0,445.37252531287584,445.37252531287584,,D-ICEP BENCHMARK_0.2_60.0_5.0_126.0_None,D-ICEP BENCHMARK,5.0,126.0,60.0,0.2
0.20724839627326513,0.2204718662826978,small,4.0,372.6186607668818,488.8509529889176,,D-ICEP_0.2_60.0_5.0_126.0_None,D-ICEP,5.0,126.0,60.0,0.2
0.5745433432847029,0.5745433432847029,small,4.0,302.93435853883216,302.93435853883216,,D-ICEP BENCHMARK_0.4_15.0_20.0_127.0_None,D-ICEP BENCHMARK,20.0,127.0,15.0,0.4
0.5570272119181766,0.446584569519788,small,4.0,253.6377498384929,386.3053831434835,,D-ICEP_0.4_15.0_20.0_127.0_None,D-ICEP,20.0,127.0,15.0,0.4
0.6424489804657528,0.6424489804657528,small,4.0,323.5785667474549,323.5785667474549,,D-ICEP BENCHMARK_0.4_30.0_10.0_125.0_None,D-ICEP BENCHMARK,10.0,125.0,30.0,0.4
0.5491703792147031,0.46230965359989906,small,4.0,207.94700196035816,444.1301614759187,,D-ICEP_0.4_30.0_10.0_125.0_None,D-ICEP,10.0,125.0,30.0,0.4
0.34681872604879527,0.34681872604879527,small,3.0,308.2227324305711,308.2227324305711,,D-ICEP BENCHMARK_0.2_60.0_4.0_125.0_None,D-ICEP BENCHMARK,4.0,125.0,60.0,0.2
0.3291002825566589,0.3443926365702635,small,3.0,244.58027361538137,342.6840503783776,,D-ICEP_0.2_60.0_4.0_125.0_None,D-ICEP,4.0,125.0,60.0,0.2
0.4072158744970366,0.4072158744970366,small,2.0,177.30051006078375,177.30051006078375,,D-ICEP BENCHMARK_0.2_30.0_6.0_124.0_None,D-ICEP BENCHMARK,6.0,124.0,30.0,0.2
0.40506107360704346,0.3919955277120738,small,2.0,171.63695489602193,267.6255858050387,,D-ICEP_0.2_30.0_6.0_124.0_None,D-ICEP,6.0,124.0,30.0,0.2
0.5745433432847029,0.5745433432847029,small,4.0,302.93435853883216,302.93435853883216,,D-ICEP BENCHMARK_0.2_60.0_5.0_127.0_None,D-ICEP BENCHMARK,5.0,127.0,60.0,0.2
0.5393180698431642,0.4641167716450586,small,4.0,258.2959909052044,387.6255858050387,,D-ICEP_0.2_60.0_5.0_127.0_None,D-ICEP,5.0,127.0,60.0,0.2
0.36452925272340647,0.36452925272340647,small,2.0,177.30051006078375,177.30051006078375,,D-ICEP BENCHMARK_0.2_30.0_6.0_123.0_None,D-ICEP BENCHMARK,6.0,123.0,30.0,0.2
0.3657687311583631,0.40783558772223366,small,2.0,171.12703905138198,237.8247783324353,,D-ICEP_0.2_30.0_6.0_123.0_None,D-ICEP,6.0,123.0,30.0,0.2
0.25152977354330647,0.25152977354330647,small,3.0,278.0941008496838,278.0941008496838,,D-ICEP BENCHMARK_0.2_30.0_8.0_127.0_None,D-ICEP BENCHMARK,8.0,127.0,30.0,0.2
0.26449058594749625,0.24868257262290666,small,3.0,225.8647750533821,352.8271934501354,,D-ICEP_0.2_30.0_8.0_127.0_None,D-ICEP,8.0,127.0,30.0,0.2
0.27510467371993985,0.27510467371993985,small,2.0,207.33852703868573,207.33852703868573,,D-ICEP BENCHMARK_0.4_60.0_3.0_127.0_None,D-ICEP BENCHMARK,3.0,127.0,60.0,0.4
0.37733966233341687,0.2309153712029814,small,2.0,127.14500280763708,296.23229222203577,,D-ICEP_0.4_60.0_3.0_127.0_None,D-ICEP,3.0,127.0,60.0,0.4
0.3772233394511096,0.3772233394511096,small,4.0,258.0405759078178,258.0405759078178,,D-ICEP BENCHMARK_0.4_30.0_10.0_123.0_None,D-ICEP BENCHMARK,10.0,123.0,30.0,0.4
0.33894635180941485,0.19942902290710562,small,4.0,113.35295024566332,502.3367595548842,,D-ICEP_0.4_30.0_10.0_123.0_None,D-ICEP,10.0,123.0,30.0,0.4
0.42359039996663517,0.42359039996663517,small,3.0,236.66776657906823,236.66776657906823,,D-ICEP BENCHMARK_0.2_60.0_4.0_124.0_None,D-ICEP BENCHMARK,4.0,124.0,60.0,0.2
0.40271980244915406,0.3926044970951845,small,3.0,214.3170825058451,306.40391501344254,,D-ICEP_0.2_60.0_4.0_124.0_None,D-ICEP,4.0,124.0,60.0,0.2
0.33859895437132387,0.33859895437132387,small,3.0,225.8647750533821,225.8647750533821,,D-ICEP BENCHMARK_0.2_60.0_4.0_123.0_None,D-ICEP BENCHMARK,4.0,123.0,60.0,0.2
0.3407986874980686,0.3158792063020074,small,3.0,214.31708250584504,327.6255858050387,,D-ICEP_0.2_60.0_4.0_123.0_None,D-ICEP,4.0,123.0,60.0,0.2
0.23636563561571852,0.23636563561571852,small,4.0,395.8483182356098,395.8483182356098,,D-ICEP BENCHMARK_0.4_30.0_10.0_124.0_None,D-ICEP BENCHMARK,10.0,124.0,30.0,0.4
0.23340697722447823,0.24955427356119197,small,4.0,401.56258367078414,467.9664986842266,,D-ICEP_0.4_30.0_10.0_124.0_None,D-ICEP,10.0,124.0,30.0,0.4
0.21630942450735274,0.21630942450735274,small,4.0,445.37252531287584,445.37252531287584,,D-ICEP BENCHMARK_0.4_15.0_20.0_126.0_None,D-ICEP BENCHMARK,20.0,126.0,15.0,0.4
0.24128279849419787,0.18248293542939387,small,4.0,179.75686525910584,592.9772260591471,,D-ICEP_0.4_15.0_20.0_126.0_None,D-ICEP,20.0,126.0,15.0,0.4
0.36452925272340647,0.36452925272340647,small,2.0,177.30051006078375,177.30051006078375,,D-ICEP BENCHMARK_0.6_15.0_12.0_123.0_None,D-ICEP BENCHMARK,12.0,123.0,15.0,0.6
0.42091409962981013,0.365897691513703,small,2.0,159.0335119795564,268.16893979784413,,D-ICEP_0.6_15.0_12.0_123.0_None,D-ICEP,12.0,123.0,15.0,0.6
0.38346686344859277,0.38346686344859277,small,2.0,167.5593373705538,167.5593373705538,,D-ICEP BENCHMARK_0.6_60.0_3.0_126.0_None,D-ICEP BENCHMARK,3.0,126.0,60.0,0.6
0.44435499134796463,0.28677189058521724,small,2.0,113.35295024566332,280.3757671950663,,D-ICEP_0.6_60.0_3.0_126.0_None,D-ICEP,3.0,126.0,60.0,0.6
0.4072158744970366,0.4072158744970366,small,2.0,177.30051006078375,177.30051006078375,,D-ICEP BENCHMARK_0.6_15.0_12.0_124.0_None,D-ICEP BENCHMARK,12.0,124.0,15.0,0.6
0.1816094342324629,0.25993715198394973,small,2.0,130.84804062082108,292.0946628915773,,D-ICEP_0.6_15.0_12.0_124.0_None,D-ICEP,12.0,124.0,15.0,0.6
0.34681872604879527,0.34681872604879527,small,3.0,308.2227324305711,308.2227324305711,,D-ICEP BENCHMARK_0.4_15.0_16.0_125.0_None,D-ICEP BENCHMARK,16.0,125.0,15.0,0.4
0.27623431566564377,0.2933143947032885,small,3.0,216.23373949614063,368.807830026885,,D-ICEP_0.4_15.0_16.0_125.0_None,D-ICEP,16.0,125.0,15.0,0.4
0.38346686344859277,0.38346686344859277,small,2.0,167.5593373705538,167.5593373705538,,D-ICEP BENCHMARK_0.2_15.0_12.0_126.0_None,D-ICEP BENCHMARK,12.0,126.0,15.0,0.2
0.3755184777375896,0.34287910389665066,small,2.0,158.47200204452915,246.4039150134425,,D-ICEP_0.2_15.0_12.0_126.0_None,D-ICEP,12.0,126.0,15.0,0.2
0.27510467371993985,0.27510467371993985,small,2.0,207.33852703868573,207.33852703868573,,D-ICEP BENCHMARK_0.6_60.0_3.0_127.0_None,D-ICEP BENCHMARK,3.0,127.0,60.0,0.6
0.23562750807768426,0.251741681263734,small,2.0,149.28627082279874,292.8271934501354,,D-ICEP_0.6_60.0_3.0_127.0_None,D-ICEP,3.0,127.0,60.0,0.6
0.39854367120917306,0.39854367120917306,small,2.0,171.12703905138198,171.12703905138198,,D-ICEP BENCHMARK_0.6_15.0_12.0_125.0_None,D-ICEP BENCHMARK,12.0,125.0,15.0,0.6
0.42325335227918437,0.35128753548662867,small,2.0,132.65281096024992,268.16893979784413,,D-ICEP_0.6_15.0_12.0_125.0_None,D-ICEP,12.0,125.0,15.0,0.6
0.27510467371993985,0.27510467371993985,small,2.0,207.33852703868573,207.33852703868573,,D-ICEP BENCHMARK_0.2_15.0_12.0_127.0_None,D-ICEP BENCHMARK,12.0,127.0,15.0,0.2
0.2745288233985401,0.2968412893160969,small,2.0,181.8380858146503,270.00702561249443,,D-ICEP_0.2_15.0_12.0_127.0_None,D-ICEP,12.0,127.0,15.0,0.2
0.33859895437132387,0.33859895437132387,small,3.0,225.8647750533821,225.8647750533821,,D-ICEP BENCHMARK_0.4_15.0_16.0_123.0_None,D-ICEP BENCHMARK,16.0,123.0,15.0,0.4
0.3127295006643789,0.23015187760657096,small,3.0,128.205699700333,372.807830026885,,D-ICEP_0.4_15.0_16.0_123.0_None,D-ICEP,16.0,123.0,15.0,0.4
